Month Code,County,County Code,Deaths,latitude,longitude
2007/01,"Maricopa County, AZ",4013,24,33.34883,-112.49123
2007/01,"Alameda County, CA",6001,11,37.6090291,-121.899142
2007/01,"Los Angeles County, CA",6037,64,34.3155072,-118.2096814
2007/01,"Sacramento County, CA",6067,12,38.4732259,-121.2980707
2007/01,"District of Columbia, DC",11001,14,38.8949549,-77.0366456
2007/01,"Duval County, FL",12031,14,30.3540073,-81.6632109
2007/01,"Miami-Dade County, FL",12086,20,25.6364246,-80.4989467
2007/01,"Cook County, IL",17031,21,41.8197385,-87.756525
2007/01,"Orleans Parish, LA",22071,12,30.0801436,-89.9319134
2007/01,"Prince George's County, MD",24033,10,38.803929,-76.8518695
2007/01,"Baltimore city, MD",24510,19,39.2559916,-76.634341
2007/01,"Wayne County, MI",26163,23,42.2682408,-83.2844172
2007/01,"Clark County, NV",32003,13,36.13440979,-115.0472645
2007/01,"Essex County, NJ",34013,10,40.7913922,-74.2479444
2007/01,"Allegheny County, PA",42003,12,40.4597204,-79.9760405
2007/01,"Philadelphia County, PA",42101,28,40.0114538,-75.1326504
2007/01,"Shelby County, TN",47157,15,35.1782557,-89.8739775
2007/01,"Bexar County, TX",48029,12,29.4263987,-98.5104781
2007/01,"Dallas County, TX",48113,13,32.7620405,-96.7790069
2007/01,"Harris County, TX",48201,27,29.8119769,-95.3741247
2007/02,"Maricopa County, AZ",4013,26,33.34883,-112.49123
2007/02,"Los Angeles County, CA",6037,51,34.3155072,-118.2096814
2007/02,"Sacramento County, CA",6067,10,38.4732259,-121.2980707
2007/02,"San Bernardino County, CA",6071,11,34.8253019,-116.0833144
2007/02,"Miami-Dade County, FL",12086,17,25.6364246,-80.4989467
2007/02,"DeKalb County, GA",13089,10,33.7575613,-84.2186508
2007/02,"Cook County, IL",17031,24,41.8197385,-87.756525
2007/02,"Marion County, IN",18097,10,39.7810289,-86.1365457
2007/02,"Orleans Parish, LA",22071,11,30.0801436,-89.9319134
2007/02,"Baltimore city, MD",24510,14,39.2559916,-76.634341
2007/02,"Wayne County, MI",26163,19,42.2682408,-83.2844172
2007/02,"Clark County, NV",32003,11,36.13440979,-115.0472645
2007/02,"Allegheny County, PA",42003,10,40.4597204,-79.9760405
2007/02,"Philadelphia County, PA",42101,19,40.0114538,-75.1326504
2007/02,"Dallas County, TX",48113,16,32.7620405,-96.7790069
2007/02,"Harris County, TX",48201,20,29.8119769,-95.3741247
2007/03,"Maricopa County, AZ",4013,21,33.34883,-112.49123
2007/03,"Los Angeles County, CA",6037,51,34.3155072,-118.2096814
2007/03,"San Bernardino County, CA",6071,13,34.8253019,-116.0833144
2007/03,"District of Columbia, DC",11001,10,38.8949549,-77.0366456
2007/03,"Broward County, FL",12011,13,26.1598074,-80.4623642
2007/03,"Miami-Dade County, FL",12086,11,25.6364246,-80.4989467
2007/03,"Cook County, IL",17031,41,41.8197385,-87.756525
2007/03,"Orleans Parish, LA",22071,15,30.0801436,-89.9319134
2007/03,"Prince George's County, MD",24033,14,38.803929,-76.8518695
2007/03,"Baltimore city, MD",24510,23,39.2559916,-76.634341
2007/03,"Wayne County, MI",26163,26,42.2682408,-83.2844172
2007/03,"Cuyahoga County, OH",39035,10,41.4301347,-81.6905558
2007/03,"Philadelphia County, PA",42101,36,40.0114538,-75.1326504
2007/03,"Shelby County, TN",47157,12,35.1782557,-89.8739775
2007/03,"Dallas County, TX",48113,22,32.7620405,-96.7790069
2007/03,"Harris County, TX",48201,31,29.8119769,-95.3741247
2007/03,"Milwaukee County, WI",55079,10,43.01641545,-87.97373035
2007/04,"Maricopa County, AZ",4013,21,33.34883,-112.49123
2007/04,"Los Angeles County, CA",6037,58,34.3155072,-118.2096814
2007/04,"San Bernardino County, CA",6071,16,34.8253019,-116.0833144
2007/04,"District of Columbia, DC",11001,10,38.8949549,-77.0366456
2007/04,"Miami-Dade County, FL",12086,23,25.6364246,-80.4989467
2007/04,"Fulton County, GA",13121,14,34.0580391,-84.2961283
2007/04,"Cook County, IL",17031,28,41.8197385,-87.756525
2007/04,"East Baton Rouge Parish, LA",22033,10,30.5254797,-91.0899217
2007/04,"Prince George's County, MD",24033,13,38.803929,-76.8518695
2007/04,"Baltimore city, MD",24510,17,39.2559916,-76.634341
2007/04,"Wayne County, MI",26163,17,42.2682408,-83.2844172
2007/04,"Kings County, NY",36047,10,40.64530975,-73.95502303
2007/04,"Cuyahoga County, OH",39035,11,41.4301347,-81.6905558
2007/04,"Allegheny County, PA",42003,10,40.4597204,-79.9760405
2007/04,"Philadelphia County, PA",42101,34,40.0114538,-75.1326504
2007/04,"Shelby County, TN",47157,12,35.1782557,-89.8739775
2007/04,"Dallas County, TX",48113,14,32.7620405,-96.7790069
2007/04,"Harris County, TX",48201,23,29.8119769,-95.3741247
2007/04,"Montgomery County, VA",51121,10,37.1810438,-80.3918782
2007/05,"Maricopa County, AZ",4013,30,33.34883,-112.49123
2007/05,"Los Angeles County, CA",6037,66,34.3155072,-118.2096814
2007/05,"Riverside County, CA",6065,11,33.7219991,-116.0372472
2007/05,"San Diego County, CA",6073,12,32.9637838,-116.7706277
2007/05,"Duval County, FL",12031,10,30.3540073,-81.6632109
2007/05,"Miami-Dade County, FL",12086,15,25.6364246,-80.4989467
2007/05,"Orange County, FL",12095,17,28.495156,-81.3111658
2007/05,"Cook County, IL",17031,33,41.8197385,-87.756525
2007/05,"Lake County, IN",18089,12,41.4193829,-87.3692227
2007/05,"Orleans Parish, LA",22071,11,30.0801436,-89.9319134
2007/05,"Baltimore city, MD",24510,27,39.2559916,-76.634341
2007/05,"Wayne County, MI",26163,30,42.2682408,-83.2844172
2007/05,"Clark County, NV",32003,10,36.13440979,-115.0472645
2007/05,"Bronx County, NY",36005,11,40.85703325,-73.83669616
2007/05,"Kings County, NY",36047,22,40.64530975,-73.95502303
2007/05,"Cuyahoga County, OH",39035,17,41.4301347,-81.6905558
2007/05,"Philadelphia County, PA",42101,26,40.0114538,-75.1326504
2007/05,"Shelby County, TN",47157,13,35.1782557,-89.8739775
2007/05,"Dallas County, TX",48113,26,32.7620405,-96.7790069
2007/05,"Harris County, TX",48201,28,29.8119769,-95.3741247
2007/06,"Jefferson County, AL",1073,14,33.5228184,-86.9164513
2007/06,"Maricopa County, AZ",4013,20,33.34883,-112.49123
2007/06,"Alameda County, CA",6001,18,37.6090291,-121.899142
2007/06,"Los Angeles County, CA",6037,65,34.3155072,-118.2096814
2007/06,"San Bernardino County, CA",6071,22,34.8253019,-116.0833144
2007/06,"District of Columbia, DC",11001,20,38.8949549,-77.0366456
2007/06,"Broward County, FL",12011,11,26.1598074,-80.4623642
2007/06,"Duval County, FL",12031,11,30.3540073,-81.6632109
2007/06,"Miami-Dade County, FL",12086,17,25.6364246,-80.4989467
2007/06,"Fulton County, GA",13121,12,34.0580391,-84.2961283
2007/06,"Cook County, IL",17031,52,41.8197385,-87.756525
2007/06,"Orleans Parish, LA",22071,14,30.0801436,-89.9319134
2007/06,"Baltimore city, MD",24510,25,39.2559916,-76.634341
2007/06,"Wayne County, MI",26163,48,42.2682408,-83.2844172
2007/06,"Clark County, NV",32003,11,36.13440979,-115.0472645
